,merchant_id,created_datetime_dubai,order_id,aed_amount,consumer_id,cluster_country,shared_ip,created_datetime_dubai_string,which_day,which_month,mtd,merchant_name,in_store
20,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-09,20767aa6-c906-438c-8a91-ebed5a63bddd,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-09,,,,PayLater Test Merchant,False
21,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-14,26d54083-90d9-477c-ae7b-07d101f719d4,1.0,1fc7e142-9cde-4693-8614-89ce8541121b,QAT,0.0,2024-05-14,,,,PayLater Test Merchant,False
22,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-11,f5ea1f05-5c26-4cd8-9dd7-78afaa086410,10.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-11,,,,PayLater Test Merchant,False
23,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-14,26e324aa-db12-4c64-a749-f0002327841b,2.0,1fc7e142-9cde-4693-8614-89ce8541121b,QAT,0.0,2024-05-14,,,,PayLater Test Merchant,False
24,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-19,6bb00fd3-2e11-4fc2-a36a-58de56606f9c,4.0,5914439a-f06f-442e-a5ef-39fc973fff93,QAT,0.0,2024-05-19,,,,PayLater Test Merchant,False
25,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-16,019623cb-c59e-44fb-834c-161b202018bd,1.0,a484d9bb-45df-4ea7-8864-7b5839c1dc07,QAT,1.0,2024-05-16,,,,PayLater Test Merchant,False
26,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-19,e6b127fc-03b9-4bdb-92a6-16c62630fe1e,2.0,5914439a-f06f-442e-a5ef-39fc973fff93,QAT,0.0,2024-05-19,,,,PayLater Test Merchant,False
27,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-19,056b53d3-850a-4a4e-9a1c-53456f2576da,1.0,44a1b407-3cb3-4c81-9fef-60362cf65902,QAT,1.0,2024-05-19,,,,PayLater Test Merchant,False
28,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-19,bf61daef-0171-430e-afe4-d4b47c076c9e,2.0,44a1b407-3cb3-4c81-9fef-60362cf65902,QAT,0.0,2024-05-19,,,,PayLater Test Merchant,False
29,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-20,c272518e-57b3-43e3-a37e-b0f939d17d3f,2.0,44a1b407-3cb3-4c81-9fef-60362cf65902,QAT,0.0,2024-05-20,,,,PayLater Test Merchant,False
30,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-20,8990759e-cba9-4243-9d4d-a17c7b1cc35f,1.0,5914439a-f06f-442e-a5ef-39fc973fff93,QAT,0.0,2024-05-20,,,,PayLater Test Merchant,False
31,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,2024-07-18,78312870-89ca-4e82-8620-577175c8fb75,159.5,234ee5ee-51c8-4aec-9e38-ad6eb20a5f0d,QAT,0.0,2024-07-18,,last_to_last_month,,Approved Market,False
32,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-07-21,f38a5381-8da5-4ee2-a1b7-8a8feb15c562,1119.0,234ee5ee-51c8-4aec-9e38-ad6eb20a5f0d,QAT,0.0,2024-07-21,,last_to_last_month,,Store 974,False
33,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-07-21,f38a5381-8da5-4ee2-a1b7-8a8feb15c562,1119.0,234ee5ee-51c8-4aec-9e38-ad6eb20a5f0d,QAT,0.0,2024-07-21,,last_to_last_month,,Store 974,False
34,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-07-24,9d6a7f82-60f0-410b-a94f-1752b873a935,577.0,2905bfa0-41ee-498f-b076-cca3738285f7,QAT,1.0,2024-07-24,,last_to_last_month,,Store 974,False
35,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-08-03,3cb6b44e-4698-429d-b166-743be1ad0c83,1663.0,52ae0b53-4a31-4833-b022-61c3e36b8986,QAT,1.0,2024-08-03,,last_month,last_month,Store 974,False
36,e9d41268-9b8b-454a-972a-0648ceea313c,2024-08-01,16df9a2e-2fc5-4f72-a329-a1d7aa11cabb,220.0,4fd843d3-b8fa-4763-a5b3-807df67900b0,QAT,1.0,2024-08-01,,last_month,last_month,PayLater Test Merchant,False
37,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-08-01,fb247512-ad0c-4ffd-ac40-64b8eb6d7420,3799.0,6cea7f8f-77a8-4f06-be73-e5660fccd904,QAT,0.0,2024-08-01,,last_month,last_month,Store 974,False
38,e9d41268-9b8b-454a-972a-0648ceea313c,2024-08-06,8dec6c61-9598-4c5a-8e99-68702ccefcd4,1.0,438994b0-b6c6-4c0a-a5bf-0da8f74e3884,QAT,1.0,2024-08-06,,last_month,last_month,PayLater Test Merchant,False
39,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,2024-08-11,49d40a37-f572-4fd5-bb6c-041bf22119d9,1918.0,c1092bd1-304c-447e-afeb-8556b4ed27cb,QAT,0.0,2024-08-11,,last_month,last_month,Store 974,False
