,effective_at,installment_id,installment_number,merchant_id,miss,mtd,order_id,which_day,which_month,which_month_name,rolling_30,rolling_30_30_days_ago,rolling_change,rolling_30_inst1,rolling_30_30_days_ago_inst1,rolling_change_inst1,rolling_30_inst2,rolling_30_30_days_ago_inst2,rolling_change_inst2,rolling_30_inst3,rolling_30_30_days_ago_inst3,rolling_change_inst3,rolling_30_inst4,rolling_30_30_days_ago_inst4,rolling_change_inst4,merchant_name
0,2024-06-03,06ee7dbd-101f-48f4-9c69-434350afc555,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,2c4565cf-3354-447d-aa8c-4b2be1879940,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
1,2024-07-01,ec6118db-05da-409a-92c9-955257965f04,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,last_to_last_month,6777602e-8539-4785-b2d2-0bcd07297066,,last_to_last_month,July,0.2857142857142857,0.2857142857142857,0.0,0.15625,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
2,2024-05-01,9e9f2af2-e0da-4bfb-b896-5063356b188c,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,6777602e-8539-4785-b2d2-0bcd07297066,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
3,2024-06-01,f51cf044-6a07-479d-9fab-73451d4a9bc9,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,6777602e-8539-4785-b2d2-0bcd07297066,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
4,2024-06-30,33a964ea-d0a3-4058-bf19-af4043a48fb5,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,d15de53d-d82d-41e1-937a-2088f4b193b9,,,,0.29411764705882354,0.29411764705882354,0.0,0.15873015873015872,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
5,2024-07-30,ceaa4127-549d-4af4-a008-4e755da03c73,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,d15de53d-d82d-41e1-937a-2088f4b193b9,,last_to_last_month,July,0.36923076923076925,0.36923076923076925,0.0,0.32432432432432434,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
6,2024-06-30,18459415-a179-4bb0-ae57-6476bd3f219a,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,,09f162c5-d084-456d-af08-41fd36cbdc72,,,,0.29411764705882354,0.29411764705882354,0.0,0.15873015873015872,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
7,2024-06-02,bb643097-35fe-4fc6-a9ed-63e363610712,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,cfddefe7-b88a-465f-bad2-10fc7975af8d,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
8,2024-07-02,c94225e2-3766-4ac4-b33e-a584e77c81c0,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,cfddefe7-b88a-465f-bad2-10fc7975af8d,,last_to_last_month,July,0.3055555555555556,0.3055555555555556,0.0,0.16923076923076924,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
9,2024-08-03,de04d090-1939-4b5a-a03a-383e75c66351,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_month,2c4565cf-3354-447d-aa8c-4b2be1879940,,last_month,August,0.4057971014492754,0.4057971014492754,0.0,0.3835616438356164,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
