,contribution_to_gmv,created_at,date_dt,matured_ntl,merchant_country,merchant_id,merchant_name,merchant_rolling_change,risk_composite_score,which_day,which_month,mtd
25,1.0,2024-08-24,2024-08-24,0.0,Qatar,a1008604-16c2-4cc4-a826-4a5a8998e72c,Joy Travels,0.0,0.0,,last_month,
26,1.0,2024-08-23,2024-08-23,0.0,Qatar,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,People's Telecom,0.0,0.0,,last_month,
27,0.06109196263549628,2024-08-22,2024-08-22,0.0,Qatar,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,Approved Market,0.0,0.0,,last_month,
28,0.9389080373645037,2024-08-22,2024-08-22,0.0,Qatar,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,People's Telecom,0.0,0.0,,last_month,
29,1.0,2024-08-21,2024-08-21,0.0,Qatar,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,Approved Market,0.0,0.0,,last_month,
30,1.0,2024-08-20,2024-08-20,0.0,Qatar,f9efe4bd-84f4-4ede-8f0f-77e6bd667c9f,People's Telecom,0.0,0.0,,last_month,
31,1.0,2024-08-19,2024-08-19,0.0,Qatar,dfe044f2-fb3a-42b4-b42f-fec46043476c,Tech Station Trading,0.0,0.0,,last_month,
32,0.5450409463148317,2024-08-15,2024-08-15,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,last_month_today,last_month,last_month
33,0.4549590536851683,2024-08-15,2024-08-15,0.0,Qatar,b85d3ac4-1e22-4d4f-b180-f6b424fcab8f,U Events,0.0,0.0,last_month_today,last_month,last_month
34,1.0,2024-08-11,2024-08-11,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,,last_month,last_month
35,1.0,2024-08-06,2024-08-06,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,last_month,last_month
36,0.9452600149290868,2024-08-01,2024-08-01,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,,last_month,last_month
37,0.05473998507091316,2024-08-01,2024-08-01,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,last_month,last_month
38,1.0,2024-08-03,2024-08-03,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,,last_month,last_month
39,1.0,2024-07-24,2024-07-24,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,,last_to_last_month,
40,1.0,2024-07-21,2024-07-21,0.0,QAT,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,Store 974,0.0,0.0,,last_to_last_month,
41,1.0,2024-07-18,2024-07-18,0.0,Qatar,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,Approved Market,0.0,0.0,,last_to_last_month,
42,1.0,2024-05-20,2024-05-20,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
43,1.0,2024-05-19,2024-05-19,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
44,1.0,2024-05-11,2024-05-11,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
45,1.0,2024-05-14,2024-05-14,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
46,1.0,2024-05-09,2024-05-09,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
47,1.0,2024-05-16,2024-05-16,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
48,1.0,2024-05-08,2024-05-08,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
49,1.0,2024-05-06,2024-05-06,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
50,1.0,2024-05-07,2024-05-07,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
51,1.0,2024-05-02,2024-05-02,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
52,1.0,2024-04-30,2024-04-30,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
53,1.0,2024-04-01,2024-04-01,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
54,1.0,2024-05-03,2024-05-03,0.0,QAT,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,0.0,0.0,,,
