,Unnamed: 0,installment_id,external_key,order_status,status,effective_at,created_datetime_dubai,n_installments,consumer_id,status_neew,Customer_status,country,merchant_id,merchant_name,current_month,last_month,last_to_last_month,which_month,created,day_number,mtd
70,86,3f372cd6-e8a8-4c1c-8700-06e97c8ca655,f09b31c4-9012-4933-8476-876fbd412eac,VOIDED,VOIDED,2024-05-07 11:21:08.508880+00:00,2024-05-07 11:21:08.508880+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
71,87,6b24c8c4-4577-4682-b33c-57757057aad9,f09b31c4-9012-4933-8476-876fbd412eac,VOIDED,VOIDED,2024-06-07 11:21:08.508880+00:00,2024-05-07 11:21:08.508880+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
72,88,12f3893c-846f-44ad-9e94-c2c4bbf3321f,f09b31c4-9012-4933-8476-876fbd412eac,VOIDED,VOIDED,2024-07-07 11:21:08.508880+00:00,2024-05-07 11:21:08.508880+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
73,89,2a94246c-96d9-4bb2-983e-fe3f7451e91f,f09b31c4-9012-4933-8476-876fbd412eac,VOIDED,VOIDED,2024-08-07 11:21:08.508880+00:00,2024-05-07 11:21:08.508880+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
74,90,9a9819ff-abf0-485a-871d-e19b26e8ec93,047c402d-29f9-49d6-a101-0a42a232cc17,VOIDED,VOIDED,2024-06-07 11:30:25.063975+00:00,2024-05-07 11:30:25.063975+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
75,91,3410764c-f73c-4a7e-a27d-1467c2514688,047c402d-29f9-49d6-a101-0a42a232cc17,VOIDED,VOIDED,2024-07-07 11:30:25.063975+00:00,2024-05-07 11:30:25.063975+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
76,92,5eeeb155-bba2-4392-bdb9-6a60f91a3568,047c402d-29f9-49d6-a101-0a42a232cc17,VOIDED,VOIDED,2024-08-07 11:30:25.063975+00:00,2024-05-07 11:30:25.063975+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
77,93,034d7613-458f-4b30-b367-d333c5222fc4,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,ACTIVE,PAID,2024-05-07 11:31:29.762438+00:00,2024-05-07 11:31:29.762438+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
78,94,0228be5e-42b5-4f99-9456-f82993c72007,1bc81ace-f3fb-4266-b877-64a70b641016,COMPLETE,PAID,2024-07-06 10:24:35.162150+00:00,2024-05-06 10:24:35.162150+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-06,,
79,95,5d2290d8-011b-415d-bc94-d2eff7fe5752,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,ACTIVE,MISSED,2024-07-07 08:40:46.047526+00:00,2024-05-07 08:40:46.047526+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
80,96,3456dc15-b910-4b02-847b-defd6b350d5e,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,ACTIVE,MISSED,2024-07-07 11:31:29.762438+00:00,2024-05-07 11:31:29.762438+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
81,97,89f0da4a-af0e-4e91-b430-9ba3d6348933,fd6420da-411d-49df-9bcb-39e4a274d485,ACTIVE,PAID,2024-05-08 11:43:26.570942+00:00,2024-05-08 11:43:26.570942+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
82,98,f88ae16a-3764-42be-8336-5227eb052249,1bc81ace-f3fb-4266-b877-64a70b641016,COMPLETE,PAID,2024-08-06 10:24:35.162150+00:00,2024-05-06 10:24:35.162150+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-06,,
83,99,fd7c8be4-8733-425b-8140-ea486bc64be4,a6c9c394-3366-4fc5-bf67-09ad07e8346a,ACTIVE,MISSED,2024-08-07 11:06:44.217312+00:00,2024-05-07 11:06:44.217312+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
84,100,906790ac-f681-41b7-97c2-7b206f596521,fd6420da-411d-49df-9bcb-39e4a274d485,ACTIVE,MISSED,2024-08-08 11:43:26.570942+00:00,2024-05-08 11:43:26.570942+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
85,101,c0112c25-cf76-4bc5-baa3-ca63aa735b58,1bc81ace-f3fb-4266-b877-64a70b641016,COMPLETE,PAID,2024-06-06 10:24:35.162150+00:00,2024-05-06 10:24:35.162150+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-06,,
86,102,5cb52e0b-09eb-41a4-a9d6-849c15367f8a,5493705e-9df7-4d5e-be07-91bb788f7e84,ACTIVE,PAID,2024-06-03 13:41:24.553553+00:00,2024-05-03 13:41:24.553553+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-03,,
87,103,9a8f481b-2cb8-4fc1-8e50-431f76aadba1,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,ACTIVE,PAID,2024-05-08 11:45:51.661546+00:00,2024-05-08 11:45:51.661546+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
88,104,99ec50a1-f9ae-4b29-9d6e-e62fa7164a42,ff7131b5-3c8b-47dd-b483-dad0214a0c11,ACTIVE,PAID,2024-05-08 13:21:39.116324+00:00,2024-05-08 13:21:39.116324+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
